moisture,trial,compaction_level,sensor_reading,density
2.59,T1,Airy,4095,1.29
2.59,T2,Airy,4080,1.347
2.59,T1,Loose,3900,1.43
2.59,T2,Loose,3950,1.408
2.59,T1,Moderate,4000,1.51
2.59,T2,Moderate,4095,1.526
2.59,T1,High,4095,1.613
2.59,T2,High,4095,1.673
2.59,T1,Super,4095,1.78
2.59,T2,Super,4095,1.7
6.07,T1,Airy,3700,1.329
6.07,T2,Airy,4000,1.35
6.07,T1,Loose,3900,1.5
6.07,T2,Loose,3850,1.456
6.07,T1,Moderate,3800,1.608
6.07,T2,Moderate,3750,1.56
6.07,T1,High,3800,1.618
6.07,T2,High,3750,1.6399
6.07,T1,Super,3825,1.716
6.07,T2,Super,3900,1.74
12.26,T1,Airy,3400,1.3
12.26,T2,Airy,3300,1.25
12.26,T1,Loose,2200,1.444
12.26,T2,Loose,2350,1.5
12.26,T1,Moderate,2100,1.5488
12.26,T2,Moderate,2200,1.6
12.26,T1,High,1600,1.666
12.26,T2,High,1900,1.668
12.26,T1,Super,1700,1.719
12.26,T2,Super,1800,1.75
15,T1,Airy,3150,1.246
15,T2,Airy,2400,1.21
15,T1,Loose,2300,1.437
15,T2,Loose,2300,1.49
15,T1,Moderate,2000,1.584
15,T2,Moderate,2300,1.55
15,T1,High,1600,1.6778
15,T2,High,2100,1.6155
15,T1,Super,2000,1.774
15,T2,Super,2100,1.728
20,T1,Airy,2550,1.258
20,T2,Airy,2600,1.3
20,T1,Loose,2100,1.45
20,T2,Loose,2500,1.439
20,T1,Moderate,2500,1.5969
20,T2,Moderate,2200,1.55
20,T1,High,2600,1.69
20,T2,High,2500,1.655
20,T1,Super,2500,1.7755
20,T2,Super,2300,1.789
30,T1,Airy,1900,1.28
30,T2,Airy,1900,1.35
30,T1,Loose,1950,1.383
30,T2,Loose,1900,1.4869
30,T1,Moderate,1930,1.545
30,T2,Moderate,1900,1.51
30,T1,High,1950,1.698
30,T2,High,1750,1.699
30,T1,Super,2000,1.77
30,T2,Super,1900,1.7255
