group1,group2,meandiff,p-adj,lower,upper,reject,effectsize(CohensD)
0% Kaolinite,100% Kaolinite,-65.2538,0.0,-71.6242,-58.8833,True,6.960689966728216
0% Kaolinite,25% Kaolinite,-54.7512,0.0,-61.1217,-48.3808,True,5.794056792973274
0% Kaolinite,50% Kaolinite,-60.2725,0.0,-66.6429,-53.9021,True,6.441592858538663
0% Kaolinite,75% Kaolinite,-66.8862,0.0,-73.2567,-60.5158,True,7.038412102704455
100% Kaolinite,25% Kaolinite,10.5025,0.0002,4.1321,16.8729,True,-3.3651400424406086
100% Kaolinite,50% Kaolinite,4.9812,0.1964,-1.3892,11.3517,False,-1.7616305100699077
100% Kaolinite,75% Kaolinite,-1.6325,0.9521,-8.0029,4.7379,False,0.49781541684399294
25% Kaolinite,50% Kaolinite,-5.5213,0.1206,-11.8917,0.8492,False,1.8002313747978964
25% Kaolinite,75% Kaolinite,-12.135,0.0,-18.5054,-5.7646,True,3.4792701961474894
50% Kaolinite,75% Kaolinite,-6.6138,0.038,-12.9842,-0.2433,True,2.0488848191375335
